Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza,Longitud,Latitud
Austria,79.70019,83.63543,77.01375,77.12012,77.69987,81.15693,84.51364,84.03659,83.38504,81.72971,82.24676,86.25302,87.80772,93.37581,93.41681,94.62197,91.8685,89.27092,89.12791,82.16195,87.13005,84.88819,82.13249,82.14652,78.3789,81.00049,94.62197,77.01375,84.5519642857,83.63543,5.20185560217,222.594086202,14.550072,47.516231
Belgium,148.79163,147.99721,147.88603,146.88134,154.71094,157.26726,161.39368,153.1432,158.77325,152.96377,154.19172,152.13082,150.99341,151.62596,152.90203,148.68098,146.27785,142.83935,143.15407,129.91257,136.64248,126.27003,123.11367,123.26707,118.14961,121.64189,161.39368,118.14961,143.969468214,147.99721,12.9239765323,698.835514897,4.469936,50.503887
Bulgaria,104.37294,82.49572,78.27992,77.57032,73.78592,75.31556,75.17786,71.59081,67.47588,60.51239,59.61143,62.77832,59.88056,64.444,63.58753,64.26321,64.80383,68.69616,67.38378,58.20331,60.81133,66.13029,61.01338,55.81253,58.02172,62.02112,104.37294,55.81253,68.7223317857,64.80383,11.7109893113,233.724735227,25.48583,42.733883
Switzerland,56.44827,58.3125,58.22124,55.71288,54.82869,55.93484,56.82434,55.72486,57.53433,57.59005,57.06236,58.38936,56.4609,57.25559,57.69498,58.3659,58.17354,56.49535,58.34068,56.8367,58.64083,54.8592,56.2999,57.27342,53.3919,52.98069,58.64083,52.98069,56.6883864286,56.8367,1.57662792744,97.2396242012,8.227511999999999,46.818188
Cyprus,6.36104,6.99569,7.40828,7.57899,7.84188,7.85666,8.11784,8.23461,8.60357,8.88329,9.16521,9.26527,9.46413,9.92401,10.06752,10.15927,10.42867,10.75302,10.96645,10.69787,10.4173,10.14404,9.60743,8.83117,9.20654,9.18877,10.96645,6.36104,9.05342892857,9.18877,1.28833065054,3.49075460624,33.429859,35.126413
Czech Republic,196.35529,177.5832,170.91107,163.02329,155.42446,155.87042,157.87643,154.22143,148.38658,139.305,148.81843,148.50875,144.91376,148.42425,149.49596,147.50861,149.22655,150.74719,146.26339,137.86599,139.59126,137.87459,134.45321,130.61021,126.72138,128.02197,196.35529,126.72138,150.395690714,148.50875,16.8975046423,832.141674935,15.472962,49.81749199999999
Germany (until 1990 former territory of the FRG),1262.98832,1215.67463,1166.12157,1157.80411,1138.69948,1135.74822,1154.41571,1120.28488,1095.15177,1063.23053,1062.23902,1076.76188,1055.64015,1052.93255,1037.0295,1014.86251,1023.36728,997.40966,1000.00048,931.56234,965.96978,945.39602,951.84504,970.71861,928.82576,926.47901,1262.98832,926.47901,1058.59379071,1055.64015,95.9048378238,37826.5455572,10.451526,51.165691
Denmark,70.88739,81.40036,75.49397,77.8167,81.91619,78.98589,92.18372,82.76445,78.91276,76.56136,72.2478,73.90094,73.20663,78.28593,72.48276,68.19595,75.96402,71.43919,67.82525,64.6636,65.08631,59.97446,55.18178,57.03774,53.08753,50.57113,92.18372,50.57113,71.3867378571,72.48276,10.6371633305,224.846333626,9.501785,56.26392
Estonia,40.51041,37.35256,27.29051,21.36564,22.06292,20.26732,20.96615,20.60983,19.00003,17.67368,17.3774,17.76152,17.2265,19.11618,19.41358,19.30258,18.54541,22.32821,20.08309,16.77784,21.2558,21.28527,20.23125,21.9435,21.20445,18.11485,40.51041,16.77784,22.0126689286,20.26732,6.21989201341,45.1678361103,25.0136071,58.595272
Greece,105.57734,105.30585,106.64844,106.38352,109.62169,111.79406,114.82991,119.65883,125.37928,125.87001,128.87482,129.74959,129.74739,134.19661,134.96116,138.88212,135.14488,137.92235,134.62977,127.15604,120.9151,118.05064,114.43161,104.92431,102.20752,98.60863,138.88212,98.60863,119.962936429,119.962936429,12.6103412945,513.659363679,21.824312,39.074208
Spain,293.44941,301.54839,311.7927,301.88425,318.63369,335.16803,326.89252,341.4829,352.35949,379.75588,395.76237,393.33693,411.30022,419.17531,436.29908,451.58346,443.43371,453.22503,421.07543,382.69497,369.56474,371.52789,365.39715,336.51925,338.27641,350.4032,453.22503,293.44941,369.6148875,369.56474,49.0893221725,5539.17298292,-3.74922,40.46366700000001
