Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza
Austria,13.83823,14.67201,11.35615,11.50606,11.80376,12.96523,13.85733,13.92958,13.05275,12.59032,12.31391,13.90001,13.49804,16.09054,16.06048,16.23962,15.08008,13.80202,13.62909,12.61218,13.98845,13.79523,12.38479,11.33026,9.65096,10.92752,16.23962,9.65096,13.2416135714,13.49804,1.71774768174,7.00729229128
Belgium,30.05851,30.70702,29.5005,28.9746,30.0802,29.58724,28.87667,27.83564,30.57467,26.77891,28.6694,26.62151,28.06863,29.22171,29.69854,29.42445,28.30603,27.61387,25.51106,25.96007,26.54634,23.12275,23.00218,21.4129,20.56345,21.3095,30.70702,20.56345,27.1177435714,28.06863,3.08723755322,27.2981794991
Bulgaria,38.67685,30.40321,28.76369,29.01697,26.7387,27.25983,27.09047,29.02465,27.81928,24.23896,24.07686,27.94392,25.26346,27.15412,26.93662,27.14808,27.44482,30.78968,32.31969,29.69412,31.63828,36.42197,31.62871,27.33206,29.03644,30.31687,38.67685,24.07686,29.1761435714,28.76369,3.6041522101,32.9628851723
Switzerland,2.51947,2.80188,2.89477,2.56332,2.60507,2.64253,2.86063,2.86097,3.2236,3.24882,3.1719,3.31351,3.39012,3.38712,3.6824,3.81592,4.03177,3.71889,3.8371,3.67373,3.84652,3.59822,3.64074,3.73653,3.60851,3.27908,4.03177,2.51947,3.30372714286,3.31351,0.461585406215,0.458413644519
Cyprus,1.76717,1.83009,2.12774,2.25035,2.37867,2.17315,2.28853,2.41877,2.65187,2.83609,2.96418,2.84661,3.00837,3.23533,3.29441,3.48329,3.6652,3.81394,3.98003,4.00556,3.88067,3.72228,3.5574,2.83901,2.95,3.03278,4.00556,1.76717,2.95622214286,2.95622214286,0.679830954343,0.609029056111
Czech Republic,56.91591,55.53986,54.70486,54.32135,54.96918,61.85019,66.57768,62.86693,60.72625,58.2251,62.06193,64.24483,62.79962,62.44903,62.56798,63.16564,62.61473,66.26445,61.53336,57.47704,61.62114,61.8807,59.30383,56.30628,53.53377,53.62886,66.57768,53.53377,59.9379267857,61.53336,3.96329433815,113.196295132
Germany (until 1990 former territory of the FRG),427.35307,413.16402,390.61668,379.76526,376.97501,366.8774,373.92042,353.27126,355.83909,344.29434,357.41465,370.33052,371.60074,386.13334,383.39874,378.79008,380.65787,387.94458,368.11959,343.77002,356.32599,353.92301,363.86476,367.04124,347.26977,335.3965,427.35307,335.3965,371.314554286,370.33052,22.611479952,4289.92536528
Denmark,26.25115,35.15414,30.22715,31.84964,35.93606,32.55878,44.98461,35.81655,32.18771,29.09589,26.04679,27.36258,27.57419,32.31097,26.40394,23.15161,31.0629,26.37014,24.2664,24.18758,24.07959,20.05509,16.77768,19.01834,15.48733,12.83539,44.98461,12.83539,27.4597214286,27.36258,7.74072122237,70.1204888806
Estonia,29.28148,26.7187,20.22734,15.93409,16.20674,14.65502,15.18425,14.76134,13.16054,12.57972,12.14417,11.95598,11.676,13.51542,13.41699,13.20869,12.38689,15.22337,13.22232,11.14743,15.43226,15.19054,13.72324,15.46865,14.93602,12.23723,29.28148,11.14743,15.5008332143,14.65502,4.70405835272,25.034405407
Greece,43.25276,42.08681,44.37584,44.2746,46.25901,45.02201,44.19866,47.64717,50.17693,50.47498,54.93209,55.45042,54.87117,56.11793,57.43893,58.26111,56.0866,59.57177,58.21486,54.6676,52.21141,54.01592,54.68804,49.3678,45.93766,40.91169,59.57177,40.91169,50.7499010714,50.7499010714,5.7978558408,95.611513214
Spain,78.90499,79.32108,87.12432,81.26123,81.23614,87.03057,73.93504,86.54536,85.91249,101.22151,105.74243,100.12555,114.16347,106.90109,116.72357,126.45285,121.46657,127.30296,109.56153,91.97144,75.10636,87.84302,92.88073,73.14651,76.47851,86.22361,127.30296,73.14651,94.8225857143,87.84302,16.9690017265,466.744016456
European Union (28 countries),1679.56137,1642.25487,1582.32732,1515.18382,1524.7445,1520.65474,1550.367,1503.48301,1521.03924,1478.33619,1509.12538,1550.47103,1567.48009,1617.99351,1604.80842,1597.86688,1608.88526,1623.19971,1547.18417,1421.10716,1445.20992,1422.33987,1416.36521,1342.05843,1254.26588,1242.00908,1679.56137,1242.00908,1507.49616107,1521.03924,116.39935865,73561.4869284
Finland,18.96925,18.78803,18.60765,21.35352,26.34319,24.03116,29.7819,27.39493,24.14896,23.60772,22.13773,27.56606,30.39487,37.46328,33.39659,22.14366,33.02835,31.03296,24.50391,25.60817,30.9436,24.86069,20.88277,22.16684,19.61106,16.2254,37.46328,16.2254,25.3100332143,24.50391,5.59491155938,42.3940057908
France,66.44553,67.92863,69.0533,56.91792,53.2874,56.01329,61.13249,57.12196,69.71841,63.03393,62.14025,55.36318,59.22383,62.6283,62.04848,67.20007,63.05265,62.67348,61.34197,59.60107,60.14347,51.81218,53.11085,52.7154,40.0306,42.08768,69.71841,40.0306,58.7705475,60.14347,7.78467038104,139.943671748
Croatia,7.09431,4.75411,5.42464,5.95131,4.64537,5.24322,5.07184,5.57704,6.23463,6.46194,5.83941,6.40708,7.3036,7.97829,6.85928,6.88091,6.70194,7.9013,6.84997,6.42897,5.95108,6.32515,5.92232,5.29977,4.79103,4.79541,7.97829,4.64537,6.118485,6.118485,0.966185041547,1.73210554938
Hungary,20.68729,21.56161,22.33623,22.79146,21.99303,22.47485,22.83606,24.88234,26.52002,26.25381,23.65605,23.96522,22.36473,23.6181,21.77062,19.88767,20.21604,21.31502,20.44449,17.2852,17.88819,17.276,16.6501,14.07935,13.4972,13.90695,26.52002,13.4972,20.7205303571,21.56161,3.69023489366,22.262419748
Ireland,11.22313,11.68422,12.34563,12.3615,12.69896,13.38363,14.10362,14.76101,15.14154,15.80005,16.1163,17.33422,16.42034,15.72602,15.33543,15.76672,15.0244,14.53069,14.64672,13.07155,13.3269,11.93522,12.77466,11.37018,11.14906,11.7601,17.33422,11.14906,13.8669671429,13.8669671429,1.85002976053,7.82021948839
Iceland,0.01382,0.01542,0.01386,0.01725,0.01692,0.02188,0.01536,0.01187,0.01485,0.01193,0.01091,0.01022,0.0122,0.01146,0.01119,0.01391,0.0161,0.0333,0.01502,0.01263,0.01174,0.01062,0.01047,0.00364,0.00253,0.00364,0.0333,0.00253,0.0135203571429,0.01263,0.00680559526601,4.6217178152e-05
Italy,138.86043,132.85954,132.35051,126.67939,128.7377,142.18225,136.8261,138.65002,149.50491,147.22945,152.97148,155.56058,162.58486,163.34447,161.50621,160.87527,161.9237,161.57548,158.14726,133.35016,134.67342,132.65249,127.71909,108.51365,99.80197,105.88552,163.34447,99.80197,139.932583929,138.86043,18.6403157242,795.24813165
Liechtenstein,0.00018,0.00085,0.0019,0.00196,0.00184,0.00208,0.0026,0.00254,0.00293,0.00293,0.00277,0.00293,0.00252,0.00283,0.00296,0.00314,0.00286,0.0026,0.00293,0.00298,0.00326,0.00306,0.00282,0.00304,0.00251,0.00205,0.00326,0.00018,0.00244678571429,0.00277,0.000790834916183,6.91966286845e-07
Lithuania,13.55263,14.6254,8.60507,7.28417,7.23541,6.37398,7.05583,6.49819,7.30807,5.91599,5.05597,5.53275,5.35047,5.22386,5.39942,5.65586,5.20295,4.73699,4.80458,4.78267,5.32959,4.46186,4.41068,3.85199,3.16759,3.1551,14.6254,3.1551,6.36991321429,5.39942,2.93267787007,8.68507273438
Luxembourg,0.03564,0.03729,0.03719,0.03538,0.03461,0.09354,0.08235,0.08972,0.15593,0.17346,0.12017,0.28226,1.02932,1.03671,1.25741,1.24319,1.30528,1.18171,0.996,1.19078,1.20597,1.00416,1.04272,0.68589,0.66852,0.45722,1.30528,0.03461,0.600796785714,0.600796785714,0.490719490253,0.233415957518
Latvia,6.2647,5.74994,4.91249,3.98494,3.76063,3.43212,3.55704,3.31769,3.38063,2.95521,2.50318,2.44863,2.34424,2.2732,2.08123,2.06932,2.09685,1.96685,1.93892,1.88904,2.27414,2.09408,1.87861,1.94908,1.69415,1.77276,6.2647,1.69415,2.94816142857,2.34424,1.30634173594,1.73357749653
Malta,1.7133,1.68601,1.65659,2.02269,1.85712,1.59493,1.6362,1.60074,1.62522,1.6983,1.59286,1.98538,1.94538,2.14781,2.05294,1.98769,2.00231,2.04426,2.02525,1.90337,1.88451,1.93794,2.05859,1.70025,1.66281,0.89055,2.14781,0.89055,1.78397714286,1.85712,0.29546428053,0.153877465068
Netherlands,53.07552,53.85358,53.82249,56.11506,64.18807,62.33543,63.24059,63.95944,66.35352,62.66708,64.32306,68.24025,67.48198,68.89912,70.55458,67.82469,62.84021,65.78824,65.63571,64.59409,66.67783,62.85631,59.8406,59.81705,63.97707,68.35761,70.55458,53.07552,63.2481885714,63.97707,4.92402309059,129.745132197
Norway,7.28129,7.6419,8.20255,8.47089,9.17754,9.06813,9.9649,10.33694,10.01928,9.97501,10.94562,12.16984,12.43906,13.11687,13.21603,13.48708,13.43351,13.76575,13.80544,14.53239,15.03216,14.71059,14.37254,14.40324,15.10753,15.50852,15.50852,7.28129,11.8919432143,12.43906,2.61530626912,9.31621183708
Poland,236.19921,229.9055,220.65491,207.74332,206.88886,191.44757,198.06082,192.34932,185.02612,179.57965,177.11734,178.73896,172.49536,180.90049,179.59699,178.23243,183.45729,180.11004,174.36498,166.87305,173.22363,174.67188,169.56005,170.08997,160.72773,163.5808,236.19921,160.72773,186.732971786,179.59699,20.7751181268,1275.01204428
Portugal,16.38291,17.01372,20.10244,18.13858,17.31321,19.95773,15.97983,16.7082,19.33806,25.46221,21.6383,22.07704,25.50114,20.97506,22.4734,25.50943,22.52794,19.87053,19.27529,19.42543,14.51605,16.50605,17.46219,15.22427,14.5456,18.38107,25.50943,14.51605,19.36897,19.33806,3.29187944,18.5547437071
Romania,70.94412,65.62482,59.01621,57.69123,58.52487,60.85153,62.91844,56.49589,47.5531,39.89092,42.08827,44.85638,42.3693,45.41603,40.33291,40.21328,41.87445,47.38291,45.38739,37.2959,34.79036,38.75971,35.49514,29.75313,29.70912,29.72192,70.94412,29.70912,46.6289489286,44.85638,11.9445190096,175.496317354
Sweden,9.95527,10.95387,11.55678,11.70684,12.19196,11.36294,15.83926,11.11006,12.19547,10.44954,8.95233,10.49435,11.44708,12.58413,11.70454,10.83989,10.87503,10.34464,10.26599,10.6567,13.13106,10.76968,10.3823,9.87173,9.11117,8.99714,15.83926,8.95233,11.1621907143,10.87503,1.6143401733,5.36215433258
Slovenia,6.37489,5.43141,5.96457,5.75425,5.53686,5.72508,5.32736,5.74927,5.98841,5.28914,5.59444,6.31178,6.56432,6.28938,6.42187,6.4482,6.50466,6.72575,6.49868,6.21067,6.3397,6.35933,6.05279,5.77373,4.4479,4.56154,6.72575,4.4479,5.90784392857,5.98841,0.617371222083,1.24348870484
Slovakia,19.15993,16.1346,14.10291,12.89518,12.11885,11.90068,11.92727,11.76244,11.74201,11.92638,12.21846,13.35466,12.55338,13.09506,12.72479,11.76544,11.23928,10.46783,10.52485,9.44144,9.14157,9.25738,8.83859,8.29926,7.13678,7.65216,19.15993,7.13678,11.7027817857,11.76544,2.85038530647,10.3101194922
Turkey,37.98555,38.85924,43.64171,43.30031,49.85896,52.52007,55.12028,60.30871,65.93497,72.04227,78.56806,81.02866,75.379,75.57101,76.64995,92.42119,98.02049,115.69147,120.92621,121.75084,114.86951,127.6136,127.23,122.06687,133.10545,136.97031,136.97031,37.98555,85.4425196429,78.56806,32.690748174,1120.32866
United Kingdom,236.3232,234.06565,222.75342,206.60293,204.80493,202.27141,204.07634,191.33746,197.00265,187.60561,198.69337,209.17031,207.58219,215.26474,213.35153,213.99776,220.24022,214.85425,209.17426,186.00584,192.93837,178.82926,190.4718,177.63382,152.69262,133.00021,236.3232,133.00021,198.930984286,204.07634,24.9014667418,1547.40602707
