Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,9.88948,10.24617,9.47108,9.6899,10.435,10.336,10.96941,11.96035,10.57117,9.81059,10.08054,10.16945,10.60487,11.02611,11.2667,11.79515,11.41519,11.06844,11.46074,10.94696,11.54345,11.47646,11.25488,11.11033,10.39512,10.46717
Belgium,23.24165,19.77138,19.23967,18.98119,22.78742,22.88586,22.22985,21.61828,22.32059,21.4871,21.53838,21.20902,20.53425,19.48007,19.26125,18.65789,18.86216,18.91908,19.10621,13.53955,15.7306,15.35307,14.36376,14.04243,13.68564,13.6385
Bulgaria,17.76846,13.84531,13.43705,12.36308,12.48574,13.08457,13.4062,10.55644,9.7785,7.93763,7.22839,7.18157,7.08888,8.12692,7.34813,7.08883,7.20719,7.85098,5.53055,3.14378,3.15671,2.74522,2.60257,2.63441,2.58145,2.86207
Switzerland,6.45341,6.73469,6.27329,6.10073,6.03761,6.20583,6.00354,5.9222,6.11347,5.9718,5.9282,6.18332,5.73033,5.8489,5.98907,5.99959,6.16911,5.98091,6.02495,5.71691,5.8322,5.38875,5.39665,5.49975,5.10751,4.98858
Cyprus,0.5148,0.94235,0.72912,0.77114,0.78473,0.77351,0.83221,0.77511,0.77916,0.80487,0.82186,0.76791,0.77842,0.80611,0.88413,0.91204,0.86962,0.92712,0.90441,0.79949,0.70071,0.58241,0.4583,0.5391,0.69344,0.54815
Czech Republic,51.23404,43.48248,46.3536,38.58316,30.85975,26.1776,24.62501,24.60765,22.5093,18.50652,23.4256,20.87925,19.99872,19.93681,19.56924,18.84461,18.54348,16.65883,16.19736,15.94757,12.08292,11.19144,10.89336,10.31218,9.70389,9.9218
Germany (until 1990 former territory of the FRG),186.70009,165.27966,154.73522,143.872,142.24989,145.67294,136.42438,140.48909,136.05155,133.61099,130.06064,122.85454,121.91935,118.71925,118.43688,115.29802,120.20693,128.04481,127.40234,108.67262,125.25485,125.85151,120.81371,122.40942,121.39455,127.06077
Denmark,5.45988,5.99732,5.85181,5.7045,5.79399,5.92095,6.07187,6.11265,6.13483,6.22159,6.01948,6.12498,5.82722,5.78976,5.85401,5.54329,5.66872,5.38058,4.88178,4.05645,4.42159,4.33918,4.02711,3.91933,3.95621,3.88691
Estonia,2.50662,2.36523,1.59615,0.75227,1.05931,0.89728,0.97186,0.88915,0.83559,0.48183,0.58039,0.70514,0.49003,0.55905,0.66882,0.72531,0.71905,1.19162,1.08991,0.59321,0.5128,0.72683,0.77339,0.74437,0.70601,0.49763
Greece,9.40419,9.45511,9.11173,8.82627,8.67654,9.55498,10.1714,10.28124,10.23602,9.21681,9.93657,10.06092,9.51355,9.18378,8.69988,10.23945,10.47761,10.06351,9.43782,7.53895,6.90074,4.9856,5.52583,5.28788,5.4726,5.24974
Spain,45.11433,49.47182,47.19542,46.32005,51.78435,59.5373,54.25207,53.51226,53.52432,55.44425,59.05331,61.46898,64.29639,69.30852,69.74242,70.70598,60.84926,62.88329,58.85533,49.29937,50.97564,47.84363,46.90843,43.16792,40.21386,41.17345
