Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza,Longitud,Latitud
Austria,13.97592,15.45696,15.4268,15.55839,15.60646,15.88681,17.4404,16.45279,18.5613,18.0225,18.8183,20.30915,22.2218,24.07448,24.59014,24.93373,23.62646,23.82946,22.40698,21.72621,22.52936,21.87566,21.66086,22.82021,22.17936,22.58747,24.93373,13.97592,20.0531289286,21.66086,3.45957790187,20.2338104853,14.550072,47.516231
Belgium,20.65745,20.85319,21.61457,22.11934,22.61002,22.69125,23.10581,23.30161,23.94155,24.24923,24.64758,25.2027,25.51118,26.08941,27.15965,26.36288,26.95546,27.79063,27.87872,27.07728,26.23738,25.85497,25.0453,24.56302,24.78807,26.48781,27.87872,20.65745,24.6904367857,24.78807,2.13342242147,20.2932972931,4.469936,50.503887
Bulgaria,6.57296,3.77365,3.95912,4.49208,4.12822,4.4214,4.32127,4.34515,5.51099,5.7483,5.51473,5.66347,5.90336,6.47874,7.02492,7.83103,8.31613,8.15607,8.5493,8.21702,7.97333,8.16232,8.45244,7.46102,8.50989,9.3622,9.3622,3.77365,6.49946285714,6.49946285714,1.76630419493,3.71854953282,25.48583,42.733883
Switzerland,14.65985,15.15037,15.47089,14.40005,14.58364,14.26613,14.32453,14.8793,15.08788,15.6961,15.93011,15.63072,15.55464,15.72217,15.80044,15.86004,15.97544,16.2991,16.64996,16.44572,16.3355,16.15521,16.27259,16.18358,16.07547,15.33792,16.64996,14.26613,15.5594085714,15.6961,0.712859305014,7.37695813737,8.227511999999999,46.818188
Cyprus,1.21371,1.21231,1.36093,1.37852,1.43348,1.52194,1.5732,1.64083,1.71912,1.76442,1.80662,1.86662,1.84955,1.95979,2.06433,2.10438,2.09199,2.2291,2.27426,2.27544,2.3243,2.25108,2.07572,1.8686,1.8192,1.88932,2.3243,1.21231,1.82519178571,1.84955,0.338704821725,0.180075161559,33.429859,35.126413
Czech Republic,7.28403,6.39038,7.97336,8.07605,8.81187,9.35455,10.36551,10.60172,10.74738,11.98593,11.93242,12.66248,13.24372,15.01818,15.77322,17.10665,17.76457,18.69103,18.56358,18.01871,17.00786,16.82347,16.55196,16.42965,16.9668,17.74755,18.69103,6.39038,13.4633585714,13.4633585714,4.00027693371,18.281537857,15.472962,49.81749199999999
Germany (until 1990 former territory of the FRG),164.40387,167.38704,173.36198,177.78904,173.90497,177.86474,177.82362,178.26461,181.65765,186.7817,182.76695,178.96243,176.68191,170.16322,169.63872,161.38185,157.36015,154.15903,154.02198,153.32991,154.20981,156.36737,154.86122,159.22958,160.12498,160.80692,186.7817,153.32991,167.979173571,167.979173571,10.7208704506,883.243169414,10.451526,51.165691
Denmark,10.73372,11.15583,11.36133,11.4703,11.95348,12.09277,12.3493,12.52231,12.47309,12.48988,12.28489,12.27261,12.36491,12.81563,13.13382,13.24219,13.60481,14.21698,13.91102,13.18388,13.12475,12.78063,12.14809,11.94953,12.13025,12.33637,14.21698,10.73372,12.4661810714,12.36491,0.86934327636,4.92726908402,9.501785,56.26392
Estonia,2.47719,2.25594,1.1671,1.29092,1.61782,1.58436,1.65245,1.75868,1.81289,1.69521,1.68211,2.00917,2.14189,2.03442,2.07897,2.15088,2.31123,2.43407,2.31232,2.13421,2.26103,2.26941,2.29476,2.24016,2.26443,2.32382,2.47719,1.1671,1.99641892857,2.13421,0.368205836905,0.214429683804,25.0136071,58.595272
Greece,14.50698,15.32456,15.71799,15.91979,16.23493,16.58424,17.02969,17.7654,19.60798,19.93966,18.85996,19.7651,20.08518,21.15657,21.60514,21.89401,22.6005,23.21239,22.49804,25.29375,22.47685,20.11775,16.73732,16.51374,16.5476,17.09809,25.29375,14.50698,19.103355,19.103355,3.01118299834,16.8587486243,21.824312,39.074208
